,Date,BF/A US Equity,BF/B US Equity,BF/A US Equity / BF/B US Equity,SMA_21,SMA_50,SMA_120
2574,1998-05-15,5.68,5.9933,0.9477,0.9378285709999999,0.9430059999999999,0.9476950000000001
2575,1998-05-18,5.5733,5.94,0.9383,0.9378333329999999,0.9428620000000001,0.9475391670000001
2576,1998-05-19,5.5467,5.92,0.9369,0.9378,0.942484,0.947314167
2577,1998-05-20,5.5733,6.0267,0.9248,0.937104762,0.9421139999999999,0.947039167
2578,1998-05-21,5.5733,6.0067,0.9279,0.936452381,0.9416959999999999,0.9467958329999999
2579,1998-05-22,5.5467,5.9533,0.9317,0.9357857140000001,0.941106,0.9466525
2580,1998-05-26,5.5867,6.0533,0.9229,0.9346857140000001,0.940386,0.946379167
2581,1998-05-27,5.6533,6.1,0.9268,0.93417619,0.9398860000000001,0.94611
2582,1998-05-28,5.6867,6.1467,0.9252,0.93337619,0.9393959999999999,0.9457549999999999
2583,1998-05-29,5.7067,6.1467,0.9284,0.9334428570000001,0.9389120000000001,0.945418333
2584,1998-06-01,5.9467,6.44,0.9234,0.933209524,0.938542,0.945091667
2585,1998-06-02,5.92,6.3333,0.9347,0.933666667,0.938218,0.9448924999999999
2586,1998-06-03,5.8667,6.2667,0.9362,0.9339857140000001,0.9379799999999999,0.944736667
2587,1998-06-04,5.8133,6.26,0.9286,0.933285714,0.9377,0.944455833
2588,1998-06-05,5.9467,6.4,0.9292,0.932261905,0.93719,0.944175
2589,1998-06-08,5.9467,6.4067,0.9282,0.931595238,0.936494,0.943915
2590,1998-06-09,5.8667,6.36,0.9224,0.9312285709999999,0.935844,0.943648333
2591,1998-06-10,5.8667,6.3867,0.9186,0.93022381,0.935148,0.94329
2592,1998-06-11,5.84,6.3667,0.9173,0.929157143,0.934584,0.9429375
2593,1998-06-12,5.9467,6.5133,0.9129999999999999,0.928519048,0.934154,0.9425275
2594,1998-06-15,5.9933,6.42,0.9335,0.928366667,0.934048,0.9423524999999999
2595,1998-06-16,5.9267,6.36,0.9319,0.927614286,0.9337219999999999,0.9422775
2596,1998-06-17,6.08,6.6133,0.9194,0.9267142859999999,0.933074,0.94196
2597,1998-06-18,6.0267,6.5,0.9272,0.926252381,0.9329360000000001,0.9416625
2598,1998-06-19,5.9733,6.4,0.9333,0.926657143,0.932896,0.941415833
2599,1998-06-22,5.9333,6.4267,0.9232,0.926433333,0.932682,0.9411725000000001
2600,1998-06-23,5.98,6.54,0.9144,0.9256095240000001,0.932284,0.940818333
2601,1998-06-24,6.02,6.5733,0.9158,0.925271429,0.931844,0.9404933329999999
2602,1998-06-25,6.0133,6.5533,0.9176,0.9248333329999999,0.93142,0.9401475
2603,1998-06-26,6.08,6.6333,0.9166,0.92442381,0.9308360000000001,0.9399291670000001
2604,1998-06-29,6.1333,6.7533,0.9082,0.923461905,0.9302360000000001,0.939625
2605,1998-06-30,6.2133,6.8533,0.9066,0.922661905,0.929616,0.939300833
2606,1998-07-01,6.2133,6.82,0.9109999999999999,0.921533333,0.929048,0.939076667
2607,1998-07-02,6.0667,6.6933,0.9064,0.9201142859999999,0.9283440000000001,0.938699167
2608,1998-07-06,6.1067,6.78,0.9007,0.9187857140000001,0.927444,0.938361667
2609,1998-07-07,6.04,6.6933,0.9024,0.9175095240000001,0.926572,0.937984167
2610,1998-07-08,6.04,6.7067,0.9006,0.916195238,0.925834,0.937594167
2611,1998-07-09,6.0267,6.72,0.8968,0.91497619,0.9249299999999999,0.937128333
2612,1998-07-10,6.0267,6.7733,0.8898,0.9136047620000001,0.9241860000000001,0.936701667
2613,1998-07-13,5.8933,6.6667,0.884,0.912019048,0.9233,0.936195833
2614,1998-07-14,5.9467,6.6867,0.8893,0.910890476,0.922584,0.935806667
2615,1998-07-15,5.8133,6.5733,0.8844,0.9085523809999999,0.921682,0.935315
2616,1998-07-16,5.84,6.6067,0.884,0.906271429,0.9204959999999999,0.934771667
2617,1998-07-17,5.82,6.6133,0.88,0.904395238,0.919082,0.934196667
2618,1998-07-20,5.7533,6.52,0.8824,0.902261905,0.9178860000000001,0.9336549999999999
2619,1998-07-21,5.6733,6.4267,0.8828,0.899857143,0.91694,0.933158333
2620,1998-07-22,5.84,6.58,0.8875,0.8981571429999999,0.9158959999999999,0.9326975000000001
2621,1998-07-23,5.8933,6.5333,0.902,0.897566667,0.915142,0.932243333
2622,1998-07-24,5.9067,6.5333,0.9041,0.8970095240000001,0.914696,0.931895
2623,1998-07-27,6.08,6.72,0.9048,0.8964,0.914058,0.931558333
2624,1998-07-28,5.96,6.6,0.903,0.895752381,0.913164,0.931263333
2625,1998-07-29,5.9333,6.4867,0.9147,0.896061905,0.9126920000000001,0.931009167
2626,1998-07-30,6.0067,6.5933,0.9109999999999999,0.896271429,0.9121739999999999,0.9307549999999999
2627,1998-07-31,5.98,6.4667,0.9247,0.89692381,0.912172,0.930581667
2628,1998-08-03,5.96,6.46,0.9226,0.897695238,0.9120659999999999,0.9303725
2629,1998-08-04,6.06,6.5,0.9323,0.8992,0.912078,0.930211667
2630,1998-08-05,6.0467,6.5,0.9303,0.9005285709999999,0.912226,0.929978333
2631,1998-08-06,6.1133,6.6267,0.9225,0.9015714290000001,0.91214,0.9297833329999999
2632,1998-08-07,6.1133,6.6667,0.917,0.9025333329999999,0.911976,0.929503333
2633,1998-08-10,6.1067,6.58,0.9281,0.9043571429999999,0.9119700000000001,0.929346667
2634,1998-08-11,6.0733,6.54,0.9286,0.906480952,0.9120739999999999,0.9292600000000001
2635,1998-08-12,6.1667,6.7,0.9204,0.907961905,0.9117879999999999,0.929033333
2636,1998-08-13,6.18,6.6667,0.927,0.9099904759999999,0.9116040000000001,0.928928333
2637,1998-08-14,6.1533,6.6267,0.9286,0.9121142859999999,0.9116040000000001,0.9287625
2638,1998-08-17,6.1867,6.7467,0.917,0.91387619,0.9113600000000001,0.928514167
2639,1998-08-18,6.2933,6.8,0.9255,0.9159285709999999,0.911306,0.928324167
