,Date,CRD/A US Equity,CRD/B US Equity,CRD/A US Equity / CRD/B US Equity,SMA_21,SMA_50,SMA_120
4376,2007-12-21,4.5,5.34,0.8427,0.878066667,0.862664,0.8708174999999999
4377,2007-12-24,4.41,5.46,0.8077,0.8756142859999999,0.86244,0.8697825000000001
4378,2007-12-26,4.57,5.57,0.8205,0.871495238,0.86206,0.868730833
4379,2007-12-27,4.13,4.8,0.8604,0.868685714,0.862476,0.8679391670000001
4380,2007-12-28,3.49,4.22,0.8270000000000001,0.865495238,0.862044,0.866845833
4381,2007-12-31,3.5,4.15,0.8434,0.862709524,0.862344,0.865988333
4382,2008-01-02,3.61,4.06,0.8892,0.8655285709999999,0.8629620000000001,0.865780833
4383,2008-01-03,3.61,4.04,0.8936,0.863261905,0.863786,0.865465833
4384,2008-01-04,3.56,3.88,0.9175,0.861361905,0.8647520000000001,0.865411667
4385,2008-01-07,3.51,4.03,0.871,0.8584142859999999,0.864936,0.864958333
4386,2008-01-08,3.5,3.99,0.8772,0.857,0.8650120000000001,0.864505833
4387,2008-01-09,3.9,4.56,0.8553,0.85432381,0.8653280000000001,0.8638391670000001
4388,2008-01-10,4.22,5.04,0.8373,0.8502857140000001,0.86505,0.863034167
4389,2008-01-11,3.89,4.43,0.8781,0.854247619,0.865894,0.8626016670000001
4390,2008-01-14,3.84,4.54,0.8458,0.8543333329999999,0.866038,0.8619525
4391,2008-01-15,3.73,4.41,0.8458,0.854966667,0.8660120000000001,0.861583333
4392,2008-01-16,4.22,4.98,0.8474,0.854190476,0.8663200000000001,0.8612049999999999
4393,2008-01-17,4.07,4.62,0.8809999999999999,0.856157143,0.8667799999999999,0.860788333
4394,2008-01-18,4.17,4.79,0.8706,0.8562047620000001,0.8665219999999999,0.8602025
4395,2008-01-22,4.29,4.95,0.8667,0.857357143,0.865878,0.8598049999999999
4396,2008-01-23,4.27,4.98,0.8574,0.858838095,0.865906,0.8593533329999999
4397,2008-01-24,4.05,4.57,0.8862,0.8609095240000001,0.86636,0.859070833
4398,2008-01-25,4.11,4.73,0.8689,0.86382381,0.8675139999999999,0.8584858329999999
4399,2008-01-28,4.28,4.93,0.8682,0.866095238,0.86824,0.858293333
4400,2008-01-29,4.15,4.75,0.8737,0.8667285709999999,0.8685139999999999,0.8579325000000001
4401,2008-01-30,4.08,4.56,0.8947,0.8699523809999999,0.869064,0.858158333
4402,2008-01-31,4.34,4.86,0.893,0.8723142859999999,0.869858,0.8582700000000001
4403,2008-02-01,4.07,4.99,0.8156,0.8688095240000001,0.8688459999999999,0.858256667
4404,2008-02-04,4.0,4.57,0.8753,0.867938095,0.8697219999999999,0.858445833
4405,2008-02-05,3.6399,4.06,0.8965,0.866938095,0.870088,0.858735833
4406,2008-02-06,3.75,4.25,0.8824,0.8674809520000001,0.870552,0.8588875
4407,2008-02-07,3.84,4.54,0.8458,0.865985714,0.8693280000000001,0.859083333
4408,2008-02-08,3.68,4.21,0.8741,0.866880952,0.8684219999999999,0.8595908329999999
4409,2008-02-11,3.61,4.13,0.8741,0.868633333,0.868024,0.8602441670000001
4410,2008-02-12,3.62,4.27,0.8478,0.867190476,0.866942,0.8606191670000001
4411,2008-02-13,3.9,4.68,0.8333,0.8665952379999999,0.867008,0.8607216670000001
4412,2008-02-14,3.61,4.09,0.8826,0.868347619,0.865836,0.8611441670000001
4413,2008-02-15,3.53,4.03,0.8759,0.869704762,0.8642059999999999,0.861765
4414,2008-02-19,3.71,4.37,0.8490000000000001,0.868180952,0.8625280000000001,0.861919167
4415,2008-02-20,4.0,4.65,0.8602,0.867685714,0.8615940000000001,0.861971667
4416,2008-02-21,3.85,4.46,0.8632,0.867519048,0.8606280000000001,0.86226
4417,2008-02-22,3.97,4.38,0.9064,0.869852381,0.8603139999999999,0.862589167
4418,2008-02-25,3.69,4.25,0.8682,0.868995238,0.8617799999999999,0.862618333
4419,2008-02-26,3.85,4.45,0.8652,0.868819048,0.8622040000000001,0.862778333
4420,2008-02-27,3.85,4.45,0.8652,0.86867619,0.862858,0.8630783329999999
4421,2008-02-28,3.95,4.4,0.8977,0.869819048,0.8635379999999999,0.863085
4422,2008-02-29,3.75,4.12,0.9102,0.870557143,0.8649479999999999,0.863156667
4423,2008-03-03,3.56,4.0,0.89,0.8704142859999999,0.8653559999999999,0.862984167
4424,2008-03-04,3.56,4.04,0.8812,0.873538095,0.86613,0.862905833
4425,2008-03-05,3.56,4.05,0.879,0.8737142859999999,0.8671840000000001,0.862766667
4426,2008-03-06,3.56,3.92,0.9082,0.8742714290000001,0.8684940000000001,0.8628549999999999
4427,2008-03-07,3.6,3.98,0.9045,0.87532381,0.8704299999999999,0.862785833
4428,2008-03-10,3.46,3.92,0.8827,0.877080952,0.871674,0.862524167
4429,2008-03-11,3.77,4.65,0.8108,0.874066667,0.870682,0.862153333
4430,2008-03-12,3.96,4.83,0.8199,0.8714857140000001,0.87054,0.861905833
4431,2008-03-13,4.03,4.86,0.8292,0.8706,0.8702559999999999,0.8617558329999999
4432,2008-03-14,3.78,4.31,0.877,0.8726809520000001,0.8700120000000001,0.8619924999999999
4433,2008-03-17,3.96,4.7,0.8426,0.87077619,0.868992,0.861966667
4434,2008-03-18,3.96,4.94,0.8016,0.867238095,0.8666739999999999,0.861598333
4435,2008-03-19,4.09,4.89,0.8364,0.866638095,0.8659819999999999,0.861556667
4436,2008-03-20,4.06,5.0,0.812,0.864342857,0.8646780000000001,0.861295
4437,2008-03-24,4.16,5.02,0.8287,0.8627,0.8641459999999999,0.860968333
4438,2008-03-25,3.9,5.03,0.7753,0.856457143,0.862906,0.8604358329999999
4439,2008-03-26,4.05,5.01,0.8084,0.853609524,0.8615120000000001,0.86024
4440,2008-03-27,4.43,5.11,0.8669,0.8536904759999999,0.861934,0.860345
4441,2008-03-28,4.43,5.18,0.8552,0.8532142859999999,0.8621219999999999,0.860451667
4442,2008-03-31,4.5,5.25,0.8571,0.851280952,0.862316,0.8607
4443,2008-04-01,5.05,6.19,0.8158,0.846785714,0.8610120000000001,0.86064
4444,2008-04-02,5.0,6.15,0.813,0.8431190479999999,0.8598600000000001,0.860490833
4445,2008-04-03,5.0,6.34,0.7886,0.8387095240000001,0.858298,0.8601791670000001
4446,2008-04-04,4.88,6.11,0.7987,0.8348857140000001,0.857124,0.8598524999999999
4447,2008-04-07,4.98,6.14,0.8111,0.830261905,0.8556219999999999,0.8597875
4448,2008-04-08,4.74,5.92,0.8007,0.825319048,0.854258,0.8594641670000001
4449,2008-04-09,4.21,5.28,0.7973,0.821252381,0.8528399999999999,0.8591116670000001
4450,2008-04-10,4.45,5.54,0.8032,0.820890476,0.8514299999999999,0.858733333
4451,2008-04-11,3.93,4.81,0.8170000000000001,0.8207523809999999,0.8498760000000001,0.8586383329999999
4452,2008-04-14,4.29,5.18,0.8282,0.820704762,0.8485799999999999,0.8583875
4453,2008-04-15,4.44,5.68,0.7817,0.8161666670000001,0.847902,0.857798333
4454,2008-04-16,5.03,6.26,0.8035,0.814304762,0.8464659999999999,0.8572508329999999
4455,2008-04-17,5.0,5.98,0.8361,0.815947619,0.845258,0.857036667
4456,2008-04-18,5.15,6.36,0.8097,0.81467619,0.8438040000000001,0.8565058329999999
4457,2008-04-21,5.09,6.27,0.8118,0.814666667,0.843124,0.856275
4458,2008-04-22,4.8,5.78,0.8304,0.814747619,0.84225,0.856101667
4459,2008-04-23,4.4,5.32,0.8271,0.8172142859999999,0.84131,0.8560283329999999
4460,2008-04-24,4.65,5.72,0.8129,0.817428571,0.840612,0.855814167
4461,2008-04-25,4.35,5.38,0.8086,0.8146523809999999,0.840118,0.855493333
4462,2008-04-28,4.58,5.59,0.8193,0.812942857,0.838852,0.8553875
4463,2008-04-29,4.37,5.26,0.8308,0.811690476,0.83795,0.855160833
4464,2008-04-30,4.2748,5.19,0.8237,0.8120666670000001,0.8374440000000001,0.8546625
4465,2008-05-01,4.7,5.7,0.8246,0.812619048,0.8367319999999999,0.854043333
4466,2008-05-02,4.54,5.44,0.8346,0.8148095240000001,0.83616,0.853865
4467,2008-05-05,4.47,5.41,0.8262,0.816119048,0.834556,0.853554167
4468,2008-05-06,4.4,5.23,0.8413,0.8175571429999999,0.834018,0.8538049999999999
4469,2008-05-07,4.17,4.82,0.8651,0.82062381,0.834016,0.854081667
4470,2008-05-08,4.11,4.8,0.8562,0.8234285709999999,0.833836,0.85405
4471,2008-05-09,4.21,5.0,0.8420000000000001,0.82527619,0.832722,0.8538399999999999
4472,2008-05-12,5.0,5.94,0.8418,0.826457143,0.831354,0.853744167
4473,2008-05-13,4.908,5.99,0.8194,0.826038095,0.829942,0.853354167
4474,2008-05-14,5.05,6.06,0.8333,0.828495238,0.828984,0.853369167
4475,2008-05-15,4.91,5.79,0.848,0.830614286,0.828364,0.8531175
4476,2008-05-16,4.73,5.52,0.8569,0.831604762,0.8273379999999999,0.8530983329999999
4477,2008-05-19,4.9,5.7,0.8596,0.833980952,0.82644,0.852703333
4478,2008-05-20,4.88,5.58,0.8746,0.8369714290000001,0.8262780000000001,0.8523299999999999
4479,2008-05-21,4.8,5.7,0.8421,0.8375285709999999,0.8269040000000001,0.8518975000000001
4480,2008-05-22,4.85,5.84,0.8305,0.8376904759999999,0.827116,0.8513025
4481,2008-05-23,5.0,5.97,0.8375,0.838861905,0.827282,0.8513649999999999
4482,2008-05-27,4.96,5.91,0.8393,0.84032381,0.826528,0.850515833
4483,2008-05-28,5.04,6.04,0.8344,0.841042857,0.826364,0.849490833
4484,2008-05-29,5.0,6.18,0.8091,0.8400095240000001,0.826514,0.848459167
4485,2008-05-30,5.2,5.98,0.8696,0.842195238,0.8271780000000001,0.8481483329999999
4486,2008-06-02,5.02,6.11,0.8216,0.8420523809999999,0.82737,0.8473991670000001
4487,2008-06-03,5.15,6.27,0.8214,0.84142381,0.827224,0.8465600000000001
4488,2008-06-04,5.45,6.64,0.8208,0.841166667,0.828134,0.8467758329999999
4489,2008-06-05,5.99,7.4,0.8095,0.839652381,0.828156,0.8464883329999999
4490,2008-06-06,5.84,7.09,0.8237,0.837680952,0.827292,0.8464149999999999
4491,2008-06-09,5.94,7.33,0.8104,0.8355,0.8263959999999999,0.845970833
4492,2008-06-10,5.96,7.28,0.8187,0.8343904759999999,0.825628,0.8457958329999999
4493,2008-06-11,5.81,7.25,0.8014,0.832466667,0.82534,0.8452274999999999
